name,population,region,GDP
Gibraltar,40867.0,U.K.,0
British Virgin Islands,39936.0,U.K.,1505856107.0
Caribbean Netherlands,31913.0,Netherlands,0
Saint Martin,23898.0,France,649206156.0
Anguilla,14817.0,U.K.,415735284.0
Cook Islands,12826.0,partlyNew Zealand,366211548.0
Saint Barthelemy,11550.0,France,0
Wallis & Futuna,11113.0,France,0
Saint Pierre & Miquelon,5513.0,France,0
Saint Helena,5147.0,U.K.,0
Montserrat,4328.0,U.K.,80429630.0
Falkland Islands,3465.0,U.K.,0
Tokelau,2691.0,New Zealand,0
Niue,1822.0,partlyNew Zealand,0
